id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
27324547,14914271,Michael,Tempelhof - Schöneberg,Tempelhof,52.459530,13.376462,Entire home/apt,46.000000,90,0,1,229
3575402,18004895,Michaela,Neukölln,Neuköllner Mitte/Zentrum,52.480728,13.425083,Entire home/apt,46.000000,4,20,1,0
12155588,35356079,Michel & Christina,Lichtenberg,Alt-Lichtenberg,52.513531,13.502218,Private room,46.000000,2,47,1,65
9232303,1174550,Molly,Pankow,Helmholtzplatz,52.542053,13.415611,Entire home/apt,46.000000,1,0,1,0
7793413,17238564,Natali & Djalil,Mitte,Alexanderplatz,52.524006,13.418709,Private room,46.000000,3,252,2,42
7802212,18046938,Nicoletta,Mitte,Wedding Zentrum,52.550224,13.370742,Entire home/apt,46.000000,60,2,2,190
7429427,27577775,Noam,Pankow,Prenzlauer Berg Südwest,52.531555,13.419143,Private room,46.000000,1,322,1,43
6321929,32894671,Oliver,Mitte,Wedding Zentrum,52.547279,13.365461,Entire home/apt,46.000000,45,5,1,311
29272100,23159437,Pia,Mitte,Alexanderplatz,52.512558,13.416509,Private room,46.000000,2,2,1,142
16641673,109966625,Pál,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.496201,13.427292,Entire home/apt,46.000000,2,9,1,0
21665725,72062795,Raphael Johannes,Neukölln,Neuköllner Mitte/Zentrum,52.478870,13.436378,Private room,46.000000,3,6,1,0
22939144,10334957,Robin,Pankow,Prenzlauer Berg Südwest,52.536747,13.419978,Private room,46.000000,2,2,1,0
564821,1139408,Romo,Pankow,Prenzlauer Berg Nord,52.546619,13.437788,Entire home/apt,46.000000,2,146,2,297
14872009,88547701,Rudolf,Mitte,Alexanderplatz,52.505146,13.411818,Entire home/apt,46.000000,75,4,1,281
22840990,2297456,Sandra Und Mauro,Mitte,Moabit Ost,52.522564,13.353794,Entire home/apt,46.000000,60,0,3,317
9793842,31847112,Sibulele,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.502304,13.452883,Entire home/apt,46.000000,1,4,1,0
9027179,1280504,Silvia,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.514549,13.431932,Entire home/apt,46.000000,3,154,6,244
3211272,4398200,Steffen,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.504147,13.423140,Private room,46.000000,4,166,1,0
517425,2547002,Studio A,Pankow,Prenzlauer Berg Südwest,52.530991,13.414748,Private room,46.000000,1,482,2,265
571751,2547002,Studio A,Pankow,Prenzlauer Berg Südwest,52.532394,13.414565,Private room,46.000000,1,418,2,249
4361687,22640091,Thain,Neukölln,Reuterstraße,52.491142,13.424109,Private room,46.000000,2,27,1,0
13388296,76126160,Tobias,Mitte,Moabit West,52.531174,13.316908,Entire home/apt,46.000000,8,0,1,0
10359943,53320590,Tommy,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.513695,13.458546,Entire home/apt,46.000000,1,58,1,142
4905087,1134125,Victoria,Mitte,Brunnenstr. Süd,52.527435,13.387434,Private room,46.000000,4,77,2,61
4402737,18642456,Yoshio,Mitte,Brunnenstr. Nord,52.544022,13.378414,Private room,46.000000,1,253,1,324
27482989,207118078,Zam,Lichtenberg,Neu Lichtenberg,52.504654,13.476850,Private room,46.000000,1,16,1,54
28302220,148226214,Alexandra,Lichtenberg,Karlshorst,52.479618,13.524905,Entire home/apt,47.000000,7,0,4,111
6312215,27639574,Alice,Mitte,Alexanderplatz,52.528526,13.385197,Private room,47.000000,5,4,1,0
